	A21	A22	AC1	AC2	AC3	A23
NM_001145938	182	182	7607	5353	11526	166
NR_038390	802	948	24917	21043	38726	667
NM_002421	182	182	7607	5353	11526	166
NM_002426	71	66	1248	903	2517	49
NM_002425	925	1074	26248	16863	40950	998
NM_002422	522	596	17895	12789	27966	475
NM_002427	149	180	8905	5582	12376	165
NM_032299	7684	9221	13753	13958	22125	8258
NR_039842	0	0	0	0	0	0
NM_001001711	0	0	0	0	0	0
NR_106987	0	0	0	0	0	0
NM_001225	16	62	58	181	15	58
NR_034068	0	1	0	0	0	0
NR_034070	0	1	0	0	0	0
NR_034071	0	1	0	0	0	0
NR_034067	0	1	0	0	0	0
NM_033306	0	10	2	82	6	0
NM_001191016	0	1	0	0	0	0
NR_034065	0	1	0	0	0	0
NR_034063	0	1	0	0	0	0
NR_034066	0	1	0	0	0	0
NR_034064	0	1	0	0	0	0
NR_034061	0	1	0	0	0	0
NR_034079	0	1	0	0	2	25
NR_034078	0	1	0	0	2	25
NM_001223	1	10	1	0	55	0
NM_033294	1	10	1	0	55	0
NM_004347	12	17	96	8	24	22
NM_052889	0	0	0	0	0	0
NR_036562	12	17	96	8	24	22
NM_033293	1	10	1	0	55	0
NM_033292	1	10	1	0	55	0
NM_033295	1	10	1	0	55	0
NM_001136109	12	17	96	8	24	22
NM_001136112	12	17	96	8	24	22
NM_001136110	12	17	96	8	24	22
NR_024239	12	17	96	8	24	22
NM_001257119	1	10	1	0	55	0
NM_001257118	1	10	1	0	55	0
NM_001007232	0	0	0	0	0	0
NM_001017534	0	0	0	0	0	0
NM_021571	0	0	0	0	0	0
NM_032424	1035	916	1519	1336	2708	788
NM_198439	402	353	626	394	630	389
NM_015423	2447	3950	2644	2430	4338	2786
NM_152433	402	353	626	394	630	389
NR_120551	1	1	0	16	0	2
NR_120552	1	1	0	16	0	2
NR_028328	0	0	0	0	0	0
NM_001301010	1551	1583	2587	1557	3196	1797
NM_138775	1551	1583	2587	1557	3196	1797
NM_003063	0	1	0	1	0	0
NM_017515	2109	1621	1332	2761	2205	1816
NM_017516	1855	1343	563	994	746	1516
NM_003478	6181	6195	7411	9797	9329	6769
NM_002519	4670	5665	7682	8280	9145	5138
NM_153705	3840	4261	3732	3986	4710	3972
NM_207645	1705	2251	61	89	286	2130
NM_004109	2002	1848	14238	14432	16210	1974
NM_001302646	1	1	1	4	67	1
NM_001271458	2	13	506	613	590	16
NM_001271457	2	13	506	613	590	16
NM_006235	12	33	4	15	5	3
NM_001136105	2	13	506	613	590	16
NM_001302648	1	4	218	466	291	4
NM_001302647	1	4	218	466	291	4
NR_039712	0	0	0	0	0	0
NM_001302644	3	12	507	614	591	17
NM_207429	1	2	135	284	279	4
NM_001302645	2	6	219	602	354	6
NM_001100388	22	18	1	1	2	4
NR_029839	0	0	0	0	0	0
NM_207430	22	18	1	1	2	4
NM_017589	26	2	3	47	4	11
NR_046085	0	0	0	0	0	0
NR_029840	0	0	0	0	0	0
NM_178834	25	3	1	13	8	4
NM_001258391	25	3	1	13	8	4
NM_001258390	25	3	1	13	8	4
NM_002716	2600	2788	3132	4448	3496	2227
NM_001177563	2600	2788	3132	4448	3496	2227
NM_001177562	2600	2788	3132	4448	3496	2227
NM_181700	6023	5747	6625	10690	6581	5252
NM_181699	6023	5747	6625	10690	6581	5252
NM_001289808	60	1	5	102	8	19
NM_001289807	60	42	5	102	8	19
NR_037651	778	402	1086	765	1093	328
NM_080659	778	402	1042	760	977	327
NM_001885	60	42	5	102	8	19
NM_022761	1023	1062	1782	2184	2983	1173
NM_001541	0	0	0	2	78	1
NR_038364	1261	740	2012	2054	2610	774
NM_138378	1261	740	2012	2054	2610	774
NM_001931	5316	5898	5123	5985	6900	5300
NM_001037954	4663	4683	3882	4746	5834	3925
NM_033425	2524	2186	1658	1713	2463	2039
NM_001082970	3360	3546	4572	3248	5743	3628
NM_003002	1143	1737	2588	5692	3064	1351
NM_031275	61	44	2	1	5	27
NM_001243211	170	227	210	671	238	130
NM_001562	170	227	210	671	238	130
NR_077060	1143	1737	2588	5692	3064	1351
NM_001082969	3360	3546	4572	3248	5743	3628
NM_001276506	1143	1737	2588	5692	3064	1351
NM_001276504	1143	1737	2588	5692	3064	1351
NM_001276503	1143	1737	2588	5692	3064	1351
NM_012459	2458	2547	3588	3799	4940	2326
NM_001301017	3360	3546	4572	3248	5743	3628
NM_001301019	3360	3546	4572	3248	5743	3628
NM_001301021	3360	3546	4572	3248	5743	3628
NR_103469	3360	3546	4572	3248	5743	3628
NM_018195	3360	3546	4572	3248	5743	3628
NR_028383	2458	2547	3588	3799	4940	2326
NM_138789	174	192	270	349	270	240
NM_000317	854	1597	2408	3108	3469	1286
NM_001145024	153	278	591	216	534	334
NR_120560	25	0	0	1	0	0
NR_104155	3	4	2	6	4	14
NR_120559	90	5	6	16	71	7
NR_120563	2	2	41	3	5	8
NR_034101	0	0	6	0	0	0
NM_017868	3033	2972	3406	3559	4530	3045
NR_036183	0	0	0	0	0	0
NM_000795	23	10	10	243	50	20
NM_178510	0	25	132	12	46	40
NM_016574	23	10	10	243	50	20
NM_001288752	361	305	155	525	231	248
NM_001288751	361	305	155	525	231	248
NM_001288750	361	305	155	525	231	248
NM_030770	361	305	155	525	231	248
NM_001288749	361	305	155	525	231	248
NR_110047	361	305	155	525	231	248
NR_110046	361	305	155	525	231	248
NM_020886	2758	2614	3176	3681	3677	2566
NM_001101389	0	0	0	0	0	0
NM_001301029	2758	2614	3176	3681	3677	2566
NM_000869	2	0	0	3	0	1
NM_001161772	2	0	0	3	0	1
NM_006028	28	53	51	56	19	11
NM_213621	2	0	0	3	0	1
NR_046363	2	0	0	3	0	1
NM_019021	2971	2931	3592	3601	5479	2892
NM_016090	1108	1448	1102	1793	1631	1021
NM_001286045	1108	1448	1102	1793	1631	1021
NM_006169	9	3	5	6	7	8
NM_001286048	1108	1448	1102	1793	1631	1021
NM_001286047	1108	1448	1102	1793	1631	1021
NM_001286046	1108	1448	1102	1793	1631	1021
NM_001271562	1687	1596	2451	2483	3471	1688
NR_120567	3	1	0	4	0	2
NM_015523	534	516	938	1823	2225	621
NM_001077639	7	21	59	7	10	66
